integrated_category_id	integrated_category_label	naics_code	sic_code
13108	Dining and Drinking > Restaurant > Chinese Restaurant > Fujian Restaurant	7225	
13109	Dining and Drinking > Restaurant > Chinese Restaurant > Guizhou Restaurant	7225	
13110	Dining and Drinking > Restaurant > Chinese Restaurant > Hainan Restaurant	7225	
13111	Dining and Drinking > Restaurant > Chinese Restaurant > Hakka Restaurant	7225	
13112	Dining and Drinking > Restaurant > Chinese Restaurant > Henan Restaurant	7225	
13113	Dining and Drinking > Restaurant > Chinese Restaurant > Hong Kong Restaurant	7225	
13114	Dining and Drinking > Restaurant > Chinese Restaurant > Huaiyang Restaurant	7225	
13115	Dining and Drinking > Restaurant > Chinese Restaurant > Hubei Restaurant	7225	
13116	Dining and Drinking > Restaurant > Chinese Restaurant > Hunan Restaurant	7225	
13117	Dining and Drinking > Restaurant > Chinese Restaurant > Imperial Restaurant	7225	
13118	Dining and Drinking > Restaurant > Chinese Restaurant > Jiangsu Restaurant	7225	
13119	Dining and Drinking > Restaurant > Chinese Restaurant > Jiangxi Restaurant	7225	
13120	Dining and Drinking > Restaurant > Chinese Restaurant > Macanese Restaurant	7225	
13121	Dining and Drinking > Restaurant > Chinese Restaurant > Manchu Restaurant	7225	
13122	Dining and Drinking > Restaurant > Chinese Restaurant > Peking Duck Restaurant	7225	
13123	Dining and Drinking > Restaurant > Chinese Restaurant > Shaanxi Restaurant	7225	
13124	Dining and Drinking > Restaurant > Chinese Restaurant > Shandong Restaurant	7225	
